location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Arden Arcade - Del P,Sacramento--Arden-Arcade--Roseville,US,2017-02-26T08:00:00.000Z,2017-02-26T00:00:00-08:00,pm25,11,µg/m³,38.613804,-121.368007,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Sacramento Metro. AQMD""}]"
Downtown Sacramento,Sacramento--Arden-Arcade--Roseville,US,2017-02-26T08:00:00.000Z,2017-02-26T00:00:00-08:00,pm25,3,µg/m³,38.56844,-121.49311,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
Elk Grove,Sacramento--Arden-Arcade--Roseville,US,2017-02-26T08:00:00.000Z,2017-02-26T00:00:00-08:00,pm25,0,µg/m³,38.302591,-121.420838,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Sacramento Metro. AQMD""}]"
Folsom,Sacramento--Arden-Arcade--Roseville,US,2017-02-26T08:00:00.000Z,2017-02-26T00:00:00-08:00,pm25,3,µg/m³,38.683304,-121.164457,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Sacramento Metro. AQMD""}]"
Sloughhouse,Sacramento--Arden-Arcade--Roseville,US,2017-02-26T08:00:00.000Z,2017-02-26T00:00:00-08:00,pm25,7,µg/m³,38.494475,-121.211131,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Sacramento Metro. AQMD""}]"
Selma C301,San Antonio,US,2017-02-26T08:00:00.000Z,2017-02-26T02:00:00-06:00,pm25,6.2,µg/m³,29.5875,-98.3122,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Calaveras Lake C59,San Antonio,US,2017-02-26T08:00:00.000Z,2017-02-26T02:00:00-06:00,pm25,6.7,µg/m³,29.275299,-98.311699,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Denton Airport South,Dallas-Fort Worth-Arlington,US,2017-02-26T08:00:00.000Z,2017-02-26T02:00:00-06:00,pm25,11.5,µg/m³,33.1944,-97.1933,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Midlothian OFW C52,Dallas-Fort Worth-Arlington,US,2017-02-26T08:00:00.000Z,2017-02-26T02:00:00-06:00,pm25,8.4,µg/m³,32.482081,-97.026922,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
El Paso UTEP C12,El Paso,US,2017-02-26T08:00:00.000Z,2017-02-26T01:00:00-07:00,pm25,6.4,µg/m³,31.768056,-106.501111,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Socorro Hueco C49,El Paso,US,2017-02-26T08:00:00.000Z,2017-02-26T01:00:00-07:00,pm25,11.5,µg/m³,31.66752,-106.28774,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
Fayette C601,FAYETTE,US,2017-02-26T08:00:00.000Z,2017-02-26T02:00:00-06:00,pm25,6,µg/m³,29.962474,-96.745875,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Texas Commission on Environmental Quality""}]"
