location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
San Jose - Jackson S,San Jose-Sunnyvale-Santa Clara,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,6,µg/m³,37.3483,-121.8947,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""San Francisco Bay Area AQMD""}]"
Troost,Kansas City,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,16.5,µg/m³,39.10465,-94.57055,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Missouri Department of Natural Resources""}]"
Denver - NJH - 14th,Denver-Aurora,US,2017-02-28T08:00:00.000Z,2017-02-28T01:00:00-07:00,pm25,4.2,µg/m³,39.7386,-104.9394,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Colorado Department of Public Health and Environment""}]"
Greeley Hospital,Greeley,US,2017-02-28T08:00:00.000Z,2017-02-28T01:00:00-07:00,pm25,0.8,µg/m³,40.4147,-104.7061,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Colorado Department of Public Health and Environment""}]"
CARPENTER,Des Moines,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,14,µg/m³,41.6031,-93.643303,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Polk Co. Air Quality Division""}]"
Heritage Park,Kansas City,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,16,µg/m³,38.8386,-94.7464,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Kansas Dept. of Health and Environment""}]"
Bellingham-Yew St,Bellingham,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,6.6,µg/m³,48.762699,-122.440201,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Moses Lake-Balsam St,Moses Lake,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,6.8,µg/m³,47.1303,-119.2726,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Ritzville-Alder St,ADAMS,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,1.4,µg/m³,47.127998,-118.381897,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Rosalia-Josephine St,Pullman,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,2.3,µg/m³,47.2313,-117.3685,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Pullman-Dexter Ave,Pullman,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,1.2,µg/m³,46.7245,-117.1801,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Seattle-South Park,Seattle-Tacoma-Bellevue,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,8.9,µg/m³,47.5309,-122.3208,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Lone Pine Paiute/Sho,Bishop,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,3.9,µg/m³,36.5975,-118.04,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Tribal Environmental Exchange Network""}]"
Lebanon,Cincinnati-Middletown,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,6.2,µg/m³,39.42689,-84.20077,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Ohio EPA-DAPC""}]"
HICKORY,Hickory-Lenoir-Morganton,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,16,µg/m³,35.73,-81.37,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""North Carolina DEQ - Divison of Air Quality""}]"
Mesa-Pepoit Way (tem,Kennewick-Richland-Pasco,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,1.1,µg/m³,46.5754,-119.0021,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Bellevue-Bellevue Wa,Seattle-Tacoma-Bellevue,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,4.6,µg/m³,47.613,-122.2017,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Walla Walla-12th St,Walla Walla,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,0,µg/m³,46.0588,-118.3514,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Washington Department of Ecology""}]"
Montclaire,Charlotte-Gastonia-Concord,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,10.5,µg/m³,35.1514,-80.8669,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Mecklenburg County Air Quality""}]"
Oakridge - Willamett,Eugene-Springfield,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,14.2,µg/m³,43.74436,-122.480506,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Lane Regional Air Protection Agency""}]"
Yosemite Village - V,MARIPOSA,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,8,µg/m³,37.7486,-119.5869,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
Flemington,New York-Northern New Jersey-Long Island,US,2017-02-28T08:00:00.000Z,2017-02-28T03:00:00-05:00,pm25,9.5,µg/m³,40.515251,-74.806755,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""New Jersey Dept. of Environmental Protection""}]"
MCADORY,Birmingham-Hoover,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,9.1,µg/m³,33.3311,-87.0036,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Jefferson County Department of Health""}]"
HOOVER,Birmingham-Hoover,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,7.4,µg/m³,33.3864,-86.8167,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Jefferson County Department of Health""}]"
CORNER,Birmingham-Hoover,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,12.3,µg/m³,33.8017,-86.9425,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Jefferson County Department of Health""}]"
Children's Park Site,Tucson,US,2017-02-28T08:00:00.000Z,2017-02-28T01:00:00-07:00,pm25,2,µg/m³,32.2953,-110.9822,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Pima County Department of Environmental Quality""}]"
MARION,Memphis,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,5.3,µg/m³,35.1967,-90.1911,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Arkansas Department of Environmental Quality""}]"
PARR,Little Rock-North Little Rock,US,2017-02-28T08:00:00.000Z,2017-02-28T02:00:00-06:00,pm25,4.9,µg/m³,34.7561,-92.2758,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Arkansas Department of Environmental Quality""}]"
Livermore - Rincon,San Francisco-Oakland-Fremont,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,6,µg/m³,37.687526,-121.784217,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""San Francisco Bay Area AQMD""}]"
Gridley,Chico,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,13,µg/m³,39.32756,-121.66881,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
San Andreas,CALAVERAS,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,16,µg/m³,38.2019,-120.680603,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
Colusa - Sunrise Blv,COLUSA,US,2017-02-28T08:00:00.000Z,2017-02-28T00:00:00-08:00,pm25,1,µg/m³,39.2031,-122.0169,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""California Air Resources Board""}]"
